"Month","Hour","mean_Irradiance","mean_IncidentFlux"
6,7,181.554126948376,80.8390309169746
6,8,259.063163876957,138.955457395873
6,9,321.516391377296,232.117879500977
6,10,365.284254875317,315.729986932745
6,11,387.823125234227,369.926127511571
6,12,387.823125234228,381.766727075155
6,13,365.284254875317,348.427365607361
6,14,321.516391377296,277.899648543204
6,15,259.063163876957,187.029942698529
6,16,181.554126948376,97.3814122188448
6,17,93.4938240839566,41.6291838841989
6,18,4.78434676415018e-14,1.79736069496328e-14
6,19,0,0
6,20,0,0
6,21,0,0
6,22,0,0
6,23,0,0
7,0,0,0
7,1,0,0
7,2,0,0
7,3,0,0
7,4,0,0
7,5,0,0
7,6,144.816166714685,49.5190134426684
7,7,281.21614420526,116.025388859743
7,8,401.272861573719,214.7733786217
7,9,498.009058795019,360.36558259365
7,10,565.802779708428,491.209199712393
7,11,600.714099674607,576.103866317716
7,12,600.714099674607,594.722114053066
7,13,565.802779708428,542.622803659681
7,14,498.00905879502,432.353180283571
7,15,401.27286157372,290.366060589179
7,16,281.21614420526,150.515390393116
7,17,144.816166714685,59.7488885417068
7,18,7.41065803443726e-14,2.53402975062387e-14
7,19,0,0
7,20,0,0
7,21,0,0
7,22,0,0
7,23,0,0
8,0,0,0
8,1,0,0
8,2,0,0
8,3,0,0
8,4,0,0
8,5,0,0
8,6,185.007062398063,40.2235847669115
8,7,359.26218680286,111.537396829212
8,8,512.638298775591,269.09063706631
8,9,636.221736187883,458.814750665782
8,10,722.830278864852,630.118132520305
8,11,767.430553115356,741.642636189001
8,12,767.430553115356,766.420417803514
8,13,722.830278864853,698.541061934993
8,14,636.221736187884,554.618233349478
8,15,512.638298775591,369.691885479679
8,16,359.26218680286,188.581483185158
8,17,185.007062398063,57.4377345930448
8,18,9.46734128164722e-14,2.0583560412427e-14
8,19,0,0
8,20,0,0
8,21,0,0
8,22,0,0
8,23,0,0
9,0,0,0
9,1,0,0
9,2,0,0
9,3,0,0
9,4,0,0
9,5,0,0
9,6,202.054739096725,8.91733230605625
9,7,392.366791196241,101.74899310255
9,8,559.875911586689,276.441662094305
9,9,694.847079061853,482.966232570974
9,10,789.43625996831,670.658775143078
9,11,838.146274929459,793.428807111767
9,12,838.146274929459,821.189031007239
9,13,789.43625996831,747.3176088388
9,14,694.847079061853,590.301351212414
9,15,559.875911586689,389.152042045488
9,16,392.366791196241,193.733157051718
9,17,202.054739096725,52.3970598837143
9,18,1.03397197264125e-13,4.56325435196882e-15
9,19,0,0
9,20,0,0
9,21,0,0
9,22,0,0
9,23,0,0
10,0,0,0
10,1,0,0
10,2,0,0
10,3,0,0
10,4,0,0
10,5,0,0
10,6,191.939421582873,0
10,7,372.72402165476,78.3420749085151
10,8,531.847256384767,234.77561428
10,9,660.061461759811,422.445983128098
10,10,749.915294203166,594.219852907541
10,11,796.186775578619,707.147635493355
10,12,796.186775578619,733.159546574948
10,13,749.915294203167,666.050785295552
10,14,660.061461759811,523.021236863307
10,15,531.847256384768,340.387600418947
10,16,372.724021654761,164.533162652251
10,17,191.939421582874,40.3433416413141
10,18,9.82208995685374e-14,0
10,19,0,0
10,20,0,0
10,21,0,0
10,22,0,0
10,23,0,0
11,0,0,0
11,1,0,0
11,2,0,0
11,3,0,0
11,4,0,0
11,5,0,0
11,6,157.635579025067,0
11,7,306.109951179214,50.7081450138549
11,8,436.794325635224,169.413447306765
11,9,542.09380156809,313.691442109618
11,10,615.888756184612,446.568634270214
11,11,653.890494956227,534.306678807694
11,12,653.890494956227,554.834232722114
11,13,615.888756184612,503.254716761146
11,14,542.09380156809,393.061386787269
11,15,436.794325635225,252.758178598361
11,16,306.109951179214,118.726684484186
11,17,157.635579025067,26.1128649028019
11,18,8.06666407982493e-14,0
11,19,0,0
11,20,0,0
11,21,0,0
11,22,0,0
11,23,0,0
12,0,0,0
12,1,0,0
12,2,0,0
12,3,0,0
12,4,0,0
12,5,0,0
12,6,108.192763308933,0
12,7,210.097756479043,30.2440304771273
12,8,299.792631716864,107.978930002996
12,9,372.064648901179,203.093974070198
12,10,422.71362109133,290.967473206047
12,11,448.796014125147,349.116781476891
12,12,448.796014125147,362.826872347739
12,13,422.71362109133,328.827383125322
12,14,372.064648901179,256.104145592889
12,15,299.792631716864,163.643810698373
12,16,210.097756479043,75.6727435584968
12,17,108.192763308933,15.5745843542426
12,18,5.53653358511393e-14,0
12,19,0,0
12,20,0,0
12,21,0,0
12,22,0,0
12,23,0,0
